1000, 9.965784, 7941.2, 0.7968465
2000, 10.965784, 17176.6, 0.78319067
5000, 12.287712, 47291.2, 0.7697316
8000, 12.965784, 79699.0, 0.7683588
10000, 13.287712, 101539.0, 0.7641571
12000, 13.550747, 123675.8, 0.7605718
15000, 13.872675, 157254.4, 0.75570333
18000, 14.13571, 192406.6, 0.75618804
20000, 14.287712, 215756.2, 0.7550411
22000, 14.425216, 238393.4, 0.75118905
25000, 14.60964, 275525.0, 0.7543649
28000, 14.773139, 310534.6, 0.75072205
30000, 14.872675, 333551.0, 0.7475701
32000, 14.965784, 358356.2, 0.74828225
35000, 15.095067, 396158.8, 0.74983585
38000, 15.213712, 431576.8, 0.74651635
40000, 15.287712, 457483.6, 0.74812305
42000, 15.358102, 479799.2, 0.7438283
45000, 15.457638, 521510.0, 0.7497337
48000, 15.550747, 556082.4, 0.74498343
50000, 15.60964, 582889.2, 0.7468323
52000, 15.666224, 609219.0, 0.747835
55000, 15.747144, 645972.6, 0.7458468
58000, 15.823766, 681781.0, 0.74286014
60000, 15.872675, 708048.6, 0.74346703
62000, 15.919981, 731856.2, 0.74146646
65000, 15.9881525, 774754.6, 0.7455084
68000, 16.053247, 813809.8, 0.7455059
70000, 16.095068, 835285.8, 0.74138576
72000, 16.13571, 862911.2, 0.7427549
75000, 16.194603, 901946.0, 0.7425898
78000, 16.251186, 941451.6, 0.74270844
80000, 16.287712, 965547.0, 0.74100876
82000, 16.323336, 992993.0, 0.74186254
85000, 16.375175, 1029713.8, 0.73979545
88000, 16.425217, 1071008.0, 0.7409671
90000, 16.457638, 1097248.4, 0.7407897
92000, 16.489346, 1125968.8, 0.74222416
95000, 16.53564, 1161692.0, 0.73951393
98000, 16.580494, 1207459.0, 0.7431027
100000, 16.60964, 1225881.2, 0.7380541